"","parameter","Sim1","Sim2","Sim3","Sim4","Sim5","Sim6"
"42","mp$assess$ddM","0.56","0.56","0.56","0.56","0.56","0.56"
"43","mp$assess$ddPmM","0.56","0.56","0.56","0.56","0.56","0.56"
"44","mp$assess$ddPmSteep","0.82","0.82","0.82","0.82","0.82","0.82"
"45","mp$assess$ddPsdM","0.2","0.2","0.2","0.2","0.2","0.2"
"46","mp$assess$ddPsdSteep","0.2","0.2","0.2","0.2","0.2","0.2"
"47","mp$assess$ddRhoEiv","0.33","0.33","0.33","0.33","0.33","0.33"
"48","mp$assess$ddRhoG","0.8376","0.8376","0.8376","0.8376","0.8376","0.8376"
"49","mp$assess$ddSigmaC","0.1","0.1","0.1","0.1","0.1","0.1"
"50","mp$assess$ddSurveyRel","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"51","mp$assess$ddUnfished","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"52","mp$assess$ddWkG","0.82775","0.82775","0.82775","0.82775","0.82775","0.82775"
"53","mp$assess$ddkAge","2","2","2","2","2","2"
"54","mp$assess$futureOption","0","0","0","0","0","0"
"55","mp$assess$idxMethod1","""seq(50,50,1)""","""seq(50,50,1)""","""seq(50,50,1)""","""seq(50,50,1)""","""seq(50,50,1)""","""seq(50,50,1)"""
