"","simID","simLabel","scenario","procedure","period","t1","t2","statistic","value"
"233","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medLowCatch",3.16542140444707
"234","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q1LowCatch",0
"235","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q2LowCatch",5.35791579556274
"236","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medProbCritBmsy",0
"237","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medProbCautBmsy",0.00142857142857143
"238","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medProbHealBmsy",0.998571428571429
"239","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medProbCritB0",0.125714285714286
"240","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medProbCautB0",0.105714285714286
"241","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medProbHealB0",0.768571428571429
"242","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"probFtGtFmsy",0
"243","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"yearAtDepProb",NA
"244","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"probAtDepYear",NA
"245","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"depAtYearProb",NA
"246","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"probGteDmsy",NA
"247","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"probGteLimit",NA
"248","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"omittedReps",NA
"249","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medAvgDep",1.04706681796921
"250","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q1AvgDep",0.743653786152253
"251","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q2AvgDep",1.38835256485133
"252","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medFinalDep",0.866023360333418
"253","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q1finalDep",0.383163097455815
"254","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q2finalDep",1.73740689293971
"255","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medLowDep",0.40742290280537
"256","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q1LowDep",0.25513999979844
"257","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q2LowDep",0.451848056616466
"258","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medAAV",46.0157525204988
"259","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q1AAV",36.8492778398612
"260","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q2AAV",58.7891723068888
"261","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medAvgCatch",4.73721717597825
"262","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q1AvgCatch",3.37737975231531
"263","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q2AvgCatch",6.10788649244272
"264","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medLowCatch",0
"265","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q1LowCatch",0
"266","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"Q2LowCatch",1.05578012147578
"267","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medProbCritBmsy",0
"268","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medProbCautBmsy",0.0115
"269","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medProbHealBmsy",0.9885
"270","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medProbCritB0",0.3655
"271","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medProbCautB0",0.1785
"272","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"medProbHealB0",0.456
"273","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"probFtGtFmsy",0
"274","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"yearAtDepProb",NA
"275","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"probAtDepYear",NA
"276","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"depAtYearProb",NA
"277","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"probGteDmsy",NA
"278","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"probGteLimit",NA
"279","Sim","Curr-ccRule","Curr","ccRule","Long",65,84,"omittedReps",NA
"280","Sim","Hist-Curr","Hist","Curr","Short",65,71,"medAvgDep",0.452692095803824
"281","Sim","Hist-Curr","Hist","Curr","Short",65,71,"Q1AvgDep",0.224092111871665
"282","Sim","Hist-Curr","Hist","Curr","Short",65,71,"Q2AvgDep",0.746937403142011
"283","Sim","Hist-Curr","Hist","Curr","Short",65,71,"medFinalDep",0.664256410772893
"284","Sim","Hist-Curr","Hist","Curr","Short",65,71,"Q1finalDep",0.272098823266155
"285","Sim","Hist-Curr","Hist","Curr","Short",65,71,"Q2finalDep",1.36229406724878
"286","Sim","Hist-Curr","Hist","Curr","Short",65,71,"medLowDep",0.307765118707054
"287","Sim","Hist-Curr","Hist","Curr","Short",65,71,"Q1LowDep",0.0836289611746986
"288","Sim","Hist-Curr","Hist","Curr","Short",65,71,"Q2LowDep",0.35175441939312
"289","Sim","Hist-Curr","Hist","Curr","Short",65,71,"medAAV",27.5141259889196
"290","Sim","Hist-Curr","Hist","Curr","Short",65,71,"Q1AAV",18.6000772208764
"291","Sim","Hist-Curr","Hist","Curr","Short",65,71,"Q2AAV",53.5928475372791
"292","Sim","Hist-Curr","Hist","Curr","Short",65,71,"medAvgCatch",8.55829444969977
"293","Sim","Hist-Curr","Hist","Curr","Short",65,71,"Q1AvgCatch",4.83548725776873
"294","Sim","Hist-Curr","Hist","Curr","Short",65,71,"Q2AvgCatch",11.446041592199
"295","Sim","Hist-Curr","Hist","Curr","Short",65,71,"medLowCatch",3.78609116445869
"296","Sim","Hist-Curr","Hist","Curr","Short",65,71,"Q1LowCatch",0
